里名,國民黨代號,國民黨得票數,民進黨代號,民進黨得票數,親民黨代號,親民黨得票數,
臺北市大安區建倫里,1,1463,2,1503,3,313,
臺北市大安區敦安里,1,1319,2,1688,3,281,
臺北市大安區正聲里,1,1171,2,1210,3,234,
臺北市大安區敦煌里,1,1400,2,1633,3,324,
臺北市大安區華聲里,1,1017,2,1107,3,227,
臺北市大安區車層里,1,1426,2,1731,3,287,
臺北市大安區光信里,1,1804,2,2082,3,430,
臺北市大安區學府里,1,790,2,644,3,167,
臺北市中山區正守里,1,619,2,1027,3,197,
臺北市中山區正義里,1,960,2,1436,3,348,
臺北市中山區正得里,1,739,2,1098,3,218,
臺北市中山區民安里,1,816,2,1585,3,278,
臺北市中山區康樂里,1,540,2,715,3,165,
臺北市中山區中山里,1,1237,2,2047,3,386,
臺北市中山區聚盛里,1,802,2,1199,3,285,
臺北市中山區集英里,1,1140,2,2372,3,442,
臺北市中山區聚葉里,1,704,2,1202,3,254,
臺北市中山區恆安里,1,888,2,1395,3,258,
臺北市中山區晴光里,1,1000,2,1505,3,337,
臺北市中山區圓山里,1,751,2,1363,3,253,
臺北市中山區劍潭里,1,1382,2,521,3,271,
臺北市中山區大直里,1,2274,2,2641,3,573,
臺北市中山區成功里,1,1285,2,1815,3,330,
臺北市中山區永安里,1,1984,2,2722,3,517,
臺北市中山區大佳里,1,117,2,457,3,56,
臺北市中山區新喜里,1,894,2,1874,3,351,
臺北市中山區新庄里,1,920,2,1693,3,328,
臺北市中山區新福里,1,785,2,1898,3,293,
臺北市中山區松江里,1,1231,2,2268,3,380,
臺北市中山區新生里,1,872,2,1790,3,294,
臺北市中山區中庄里,1,918,2,1792,3,337,
臺北市中山區行政里,1,1135,2,1960,3,382,
臺北市中山區行仁里,1,1388,2,2901,3,498,
臺北市中山區行孝里,1,663,2,1458,3,235,
臺北市中山區下埤里,1,1454,2,2643,3,461,
臺北市中山區江寧里,1,1461,2,2172,3,377,
臺北市中山區江山里,1,1404,2,2643,3,407,
臺北市中山區中吉里,1,911,2,2011,3,312,
臺北市中山區中原里,1,945,2,1757,3,274,
臺北市中山區興亞里,1,983,2,1776,3,324,
臺北市中山區中央里,1,708,2,1133,3,225,
臺北市中山區朱馥里,1,1189,2,1777,3,346,
臺北市中山區龍洲里,1,1697,2,1007,3,364,
臺北市中山區朱園里,1,780,2,1495,3,260,
臺北市中山區埤頭里,1,751,2,1090,3,179,
臺北市中山區朱崙里,1,557,2,903,3,167,
臺北市中山區力行里,1,1103,2,1966,3,332,
臺北市中山區復華里,1,1092,2,1273,3,284,
臺北市中山區金泰里,1,1546,2,1954,3,446,
臺北市中山區北安里,1,708,2,667,3,171,
臺北市中正區水源里,1,628,2,852,3,183,
臺北市中正區富水里,1,666,2,506,3,191,
臺北市中正區文盛里,1,613,2,779,3,164,
臺北市中正區林興里,1,1134,2,1096,3,295,
臺北市中正區河堤里,1,1185,2,1246,3,293,
臺北市中正區頂東里,1,1445,2,1835,3,369,
臺北市中正區網溪里,1,1405,2,1660,3,361,
臺北市中正區板溪里,1,775,2,998,3,232,
臺北市中正區螢圃里,1,1377,2,1561,3,296,
臺北市中正區螢雪里,1,1086,2,1308,3,320,
臺北市中正區永功里,1,1223,2,1985,3,352,
臺北市中正區永昌里,1,1126,2,1637,3,333,
臺北市中正區龍興里,1,753,2,1134,3,240,
臺北市中正區忠勤里,1,1464,2,1837,3,519,
臺北市中正區廈安里,1,791,2,1209,3,249,
臺北市中正區愛國里,1,705,2,916,3,164,
臺北市中正區南門里,1,734,2,675,3,165,
臺北市中正區龍光里,1,756,2,907,3,211,
臺北市中正區南福里,1,2237,2,2743,3,564,
臺北市中正區龍福里,1,1335,2,1692,3,368,
臺北市中正區新營里,1,2135,2,2087,3,549,
臺北市中正區建國里,1,326,2,367,3,97,
臺北市中正區光復里,1,720,2,1020,3,258,
臺北市中正區黎明里,1,672,2,761,3,228,
臺北市中正區梅花里,1,711,2,979,3,152,
臺北市中正區幸福里,1,975,2,1284,3,268,
臺北市中正區幸市里,1,1042,2,1417,3,240,
臺北市中正區東門里,1,1001,2,1054,3,211,
臺北市中正區文北里,1,1211,2,1589,3,275,
臺北市中正區文祥里,1,1694,2,2117,3,425,
臺北市中正區三愛里,1,1855,2,2389,3,443,
臺北市大同區玉泉里,1,529,2,1058,3,154,
臺北市大同區建明里,1,542,2,1269,3,207,
臺北市大同區建功里,1,774,2,1625,3,254,
臺北市大同區建泰里,1,570,2,1419,3,203,
臺北市大同區永樂里,1,797,2,2033,3,318,
臺北市大同區朝陽里,1,693,2,1646,3,276,
臺北市大同區星明里,1,942,2,2034,3,367,
臺北市大同區光能里,1,819,2,1930,3,314,
臺北市大同區大有里,1,712,2,1928,3,314,
臺北市大同區延平里,1,695,2,1440,3,307,
臺北市大同區雙連里,1,1437,2,3409,3,540,
臺北市大同區南芳里,1,649,2,1441,3,201,
臺北市大同區民權里,1,1050,2,2252,3,371,
臺北市大同區景星里,1,422,2,1034,3,147,
