區名,里名,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,
松山區,中崙里,1429,1745961,1222,803,420,1497,1493.13,122.21,
松山區,自強里,3081,3987047,1294,800,394,1560,2796.03,216.06,
松山區,鵬程里,1856,2204781,1188,746,389,1476,1384.15,116.52,
松山區,東榮里,3024,5296658,1752,906,409,1879,4644.98,265.19,
松山區,介壽里,1574,2314692,1471,856,425,1763,2176.15,147.98,
松山區,東勢里,1657,2895671,1748,766,377,1595,16914.43,967.90,
松山區,東光里,2646,3362605,1271,768,388,1563,2016.69,158.69,
松山區,中正里,3459,6097380,1763,990,478,1898,4290.76,243.41,
松山區,復盛里,2295,2504432,1091,702,378,1313,2144.51,196.52,
松山區,復勢里,2299,2835023,1233,772,400,1502,1668.36,135.29,
松山區,美仁里,1229,1811041,1474,853,420,1726,2099.79,142.50,
松山區,吉仁里,1430,1863526,1303,802,420,1586,1978.83,151.85,
松山區,精忠里,1535,2829329,1843,908,422,1807,7593.10,411.95,
松山區,東昌里,965,2896760,3002,905,456,1753,41603.21,1385.93,
松山區,福成里,1009,2032638,2015,889,450,1836,11536.74,572.68,
松山區,中華里,2340,5724196,2446,950,458,2029,18802.90,768.65,
松山區,吉祥里,3179,4162350,1309,747,384,1463,5445.66,415.91,
松山區,新東里,1787,1928806,1079,722,384,1332,1290.17,119.53,
松山區,三民里,2533,3491667,1378,769,394,1558,3348.61,242.92,
松山區,復建里,1578,1999807,1267,837,427,1643,1440.58,113.67,
松山區,敦化里,2558,3693973,1444,816,424,1599,3694.88,255.86,
松山區,安平里,2845,2910194,1023,667,370,1213,2139.74,209.18,
松山區,富錦里,1862,2518436,1353,719,372,1431,5325.04,393.71,
松山區,莊敬里,1764,1610106,913,682,376,1208,819.58,89.79,
松山區,新益里,1735,1827251,1053,723,374,1310,1332.35,126.51,
松山區,富泰里,1683,2175717,1293,798,401,1534,2698.43,208.73,
松山區,龍田里,3589,5147078,1434,983,452,1854,1772.56,123.60,
松山區,慈祐里,2304,2095352,909,638,366,1135,926.25,101.85,
松山區,復源里,1135,1528461,1347,742,405,1450,4896.57,363.61,
松山區,民福里,2285,2438365,1067,698,367,1362,1553.55,145.58,
松山區,松基里,1434,2609069,1819,802,409,1733,7416.49,407.63,
松山區,新聚里,2885,3210167,1113,705,389,1332,1764.81,158.60,
松山區,民有里,3475,5833634,1679,782,390,1673,5372.49,320.03,
大安區,建安里,2001,3214070,1606,811,389,1682,3677.67,228.96,
大安區,通安里,1965,2298640,1170,683,384,1353,1970.57,168.45,
大安區,民輝里,2625,6674720,2543,912,400,1962,10642.91,418.56,
大安區,德安里,2084,3620447,1737,828,408,1802,3759.27,216.39,
大安區,敦安里,2370,4659733,1966,935,434,1913,5181.98,263.56,
大安區,光明里,1228,2567805,2091,1040,498,2086,9344.82,446.90,
大安區,永康里,1338,1952415,1459,813,409,1677,2338.18,160.24,
大安區,福住里,2266,4501722,1987,1011,470,2012,6887.04,346.67,
大安區,仁愛里,2180,5370677,2464,927,408,2038,11380.37,461.94,
大安區,義村里,2222,2754884,1240,721,367,1454,2868.28,231.35,
大安區,臥龍里,683,981413,1437,778,391,1601,3776.67,262.83,
大安區,通化里,2108,2377210,1128,646,359,1260,2487.54,220.58,
大安區,龍生里,2386,3758451,1575,966,473,1931,2447.52,155.38,
大安區,新龍里,2388,3186160,1334,849,403,1729,1731.89,129.80,
大安區,住安里,1781,2476542,1391,734,402,1442,3556.60,255.77,
大安區,錦泰里,1293,2125681,1644,909,424,1869,8567.92,521.17,
大安區,建倫里,2365,5414841,2290,878,407,1989,12494.50,545.71,
大安區,錦華里,1956,3020696,1544,1001,492,1911,3708.70,240.15,
大安區,光武里,2874,4207070,1464,776,378,1534,4436.79,303.09,
大安區,仁慈里,1956,4595389,2349,946,460,2075,15268.53,649.90,
